price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,zipcode,lat,long,sqft_living15,sqft_lot15,has_waterfront,has_basement,has_renovation,eff_built
221900.0,3,1,1180.0,5650.0,1,0,3,7,98178,47.5112,-122.257,1340.0,5650.0,0,0,0,65
538000.0,3,2,2570.0,7242.0,2,0,3,7,98125,47.721000000000004,-122.319,1690.0,7639.0,0,1,1,29
180000.0,2,1,770.0,10000.0,1,0,3,6,98028,47.7379,-122.23299999999999,2720.0,8062.0,0,0,0,87
604000.0,4,3,1960.0,5000.0,1,0,5,7,98136,47.5208,-122.39299999999999,1360.0,5000.0,0,1,0,55
510000.0,3,2,1680.0,8080.0,1,0,3,8,98074,47.6168,-122.045,1800.0,7503.0,0,0,0,33
1230000.0,4,4,5420.0,101930.0,1,0,3,11,98053,47.6561,-122.005,4760.0,101930.0,0,1,0,19
257500.0,3,2,1715.0,6819.0,2,0,3,7,98003,47.3097,-122.32700000000001,2238.0,6819.0,0,0,0,25
291850.0,3,1,1060.0,9711.0,1,0,3,7,98198,47.4095,-122.315,1650.0,9711.0,0,0,0,57
229500.0,3,1,1780.0,7470.0,1,0,3,7,98146,47.5123,-122.337,1780.0,8113.0,0,1,0,60
323000.0,3,2,1890.0,6560.0,2,0,3,7,98038,47.3684,-122.031,2390.0,7570.0,0,0,0,17
662500.0,3,2,3560.0,9796.0,1,0,3,8,98007,47.6007,-122.145,2210.0,8925.0,0,1,0,55
468000.0,2,1,1160.0,6000.0,1,0,4,7,98115,47.69,-122.292,1330.0,6000.0,0,1,0,78
310000.0,3,1,1430.0,19901.0,1,0,4,7,98028,47.7558,-122.229,1780.0,12697.0,0,0,0,93
400000.0,3,1,1370.0,9680.0,1,0,4,7,98074,47.6127,-122.045,1370.0,10208.0,0,0,0,43
530000.0,5,2,1810.0,4850.0,1,0,3,7,98107,47.67,-122.39399999999999,1360.0,4850.0,0,0,0,120
650000.0,4,3,2950.0,5000.0,2,3,3,9,98126,47.5714,-122.375,2140.0,4000.0,0,1,0,41
395000.0,3,2,1890.0,14040.0,2,0,3,7,98019,47.7277,-121.962,1890.0,14018.0,0,0,0,26
485000.0,4,1,1600.0,4300.0,1,0,4,7,98103,47.6648,-122.34299999999999,1610.0,4300.0,0,0,0,104
189000.0,2,1,1200.0,9850.0,1,0,4,7,98002,47.3089,-122.21,1060.0,5095.0,0,0,0,99
230000.0,3,1,1250.0,9774.0,1,0,4,7,98003,47.3343,-122.306,1280.0,8850.0,0,0,0,51
385000.0,4,1,1620.0,4980.0,1,0,4,7,98133,47.7025,-122.34100000000001,1400.0,4980.0,0,1,0,73
2000000.0,3,2,3050.0,44867.0,1,4,3,9,98040,47.5316,-122.23299999999999,4110.0,20336.0,0,1,0,52
285000.0,5,2,2270.0,6300.0,2,0,3,8,98092,47.3266,-122.169,2240.0,7005.0,0,0,0,25
